review,rating,date,bank,source,review_clean
very good,5,2025-11-25,BOA,google_play,very good
most of the time is not working properly,1,2025-11-25,BOA,google_play,most of the time is not working properly
good service,5,2025-11-25,BOA,google_play,good service
not use for me,3,2025-11-23,BOA,google_play,not use for me
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22,BOA,google_play,it keeps notifying me to disable developer options and quiet while i'm not enabled. always bring another type of problem with new updates.
waw,5,2025-11-21,BOA,google_play,waw
the lag is unbelievable when you need it the most this suks,1,2025-11-19,BOA,google_play,the lag is unbelievable when you need it the most this suks
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18,BOA,google_play,i cant belive i could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.
it is a good app,5,2025-11-18,BOA,google_play,it is a good app
it is not working at all,1,2025-11-15,BOA,google_play,it is not working at all
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15,BOA,google_play,🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-13,BOA,google_play,when trying to activate the app it keeps on loading on the security questions page. it has been two days
fast and simple,5,2025-11-11,BOA,google_play,fast and simple
best of best,5,2025-11-10,BOA,google_play,best of best
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10,BOA,google_play,worest banking app ever i seen. fake app bad better to leave
good,4,2025-11-10,BOA,google_play,good
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08,BOA,google_play,"i would like to share feedback regarding the application. it frequently experiences disruptions and does not function properly, often freezing or failing to load. this issue is affecting workflow and efficiency. kindly review and address this problem to ensure smoother performance."
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,2025-11-08,BOA,google_play,meet you genuine.app i tried is not functional.helping.welldoingwith boa ethiopia .fastandrelevant.morconnecting digitalyworld.digitalyworld. thanks.
best app,5,2025-11-08,BOA,google_play,best app
Best app,5,2025-11-07,BOA,google_play,best app
"Barely works, it always fails to connect",1,2025-11-07,BOA,google_play,"barely works, it always fails to connect"
my fav app,5,2025-11-07,BOA,google_play,my fav app
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05,BOA,google_play,this app launch time is so long also has dozen bugs in addition it's has been long time get update
very nice,5,2025-11-04,BOA,google_play,very nice
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,2025-11-04,BOA,google_play,"your application is very irritating to use, some functionality doesn't even work like on the card management. you need to do better than this and it good idea to reference other banking applications."
I like,5,2025-11-02,BOA,google_play,i like
ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,1,2025-11-01,BOA,google_play,ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ
i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,2025-10-30,BOA,google_play,i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update
"the worst app ever,",1,2025-10-30,BOA,google_play,"the worst app ever,"
better,5,2025-10-29,BOA,google_play,better
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,2025-10-28,BOA,google_play,"i kindly request that bank of abyssinia address issues with its mobile app. it is very slow, has numerous problems, and frequently experiences downtime. the user experience is also poor. thank you."
this app can't open? what is problem? please solve my problem?,1,2025-10-28,BOA,google_play,this app can't open? what is problem? please solve my problem?
kiyaa makonn,5,2025-10-27,BOA,google_play,kiyaa makonn
very very lazy app,1,2025-10-26,BOA,google_play,very very lazy app
telebirr remittance,5,2025-10-24,BOA,google_play,telebirr remittance
The best bank in 🇪🇹,5,2025-10-23,BOA,google_play,the best bank in 🇪🇹
its good,5,2025-10-22,BOA,google_play,its good
the worst app in my financial experience.,1,2025-10-22,BOA,google_play,the worst app in my financial experience.
good for mb appliciation,5,2025-10-21,BOA,google_play,good for mb appliciation
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,2025-10-20,BOA,google_play,the worst bank ever. slow don't accept dual sim. they are very stupid and greedy
try to easy network,4,2025-10-17,BOA,google_play,try to easy network
hussen hassen umer,5,2025-10-16,BOA,google_play,hussen hassen umer
