review,rating,date,bank,source,review_clean,vader_compound,sentiment_vader,sent_label,sent_score,text,theme_primary
very good,5,2025-11-25,BOA,google_play,very good,0.4927,positive,positive,0.9998520612716676,very good,other
most of the time is not working properly,1,2025-11-25,BOA,google_play,most of the time is not working properly,0.0,neutral,negative,0.9997636675834656,most of the time is not working properly,other
good service,5,2025-11-25,BOA,google_play,good service,0.4404,positive,positive,0.9998499155044556,good service,other
not use for me,3,2025-11-23,BOA,google_play,not use for me,0.0,neutral,negative,0.9953739047050476,not use for me,other
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22,BOA,google_play,it keeps notifying me to disable developer options and quiet while i'm not enabled. always bring another type of problem with new updates.,-0.4019,negative,negative,0.9968326687812804,it keeps notifying me to disable developer options and quiet while i'm not enabled. always bring another type of problem with new updates.,ui_ux
waw,5,2025-11-21,BOA,google_play,waw,0.0,neutral,negative,0.7346178889274597,waw,other
the lag is unbelievable when you need it the most this suks,1,2025-11-19,BOA,google_play,the lag is unbelievable when you need it the most this suks,-0.1531,negative,negative,0.9983174800872804,the lag is unbelievable when you need it the most this suks,other
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18,BOA,google_play,i cant belive i could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,-0.8834,negative,negative,0.999693751335144,i cant belive i could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,other
it is a good app,5,2025-11-18,BOA,google_play,it is a good app,0.4404,positive,positive,0.9998643398284912,it is a good app,other
it is not working at all,1,2025-11-15,BOA,google_play,it is not working at all,0.0,neutral,negative,0.9997811913490297,it is not working at all,other
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15,BOA,google_play,🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,0.9142,positive,positive,0.8251601457595825,🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,account_access
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-13,BOA,google_play,when trying to activate the app it keeps on loading on the security questions page. it has been two days,0.34,positive,negative,0.9952510595321656,when trying to activate the app it keeps on loading on the security questions page. it has been two days,transactions
fast and simple,5,2025-11-11,BOA,google_play,fast and simple,0.0,neutral,positive,0.9997392296791076,fast and simple,other
best of best,5,2025-11-10,BOA,google_play,best of best,0.8555,positive,positive,0.9997496008872986,best of best,other
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10,BOA,google_play,worest banking app ever i seen. fake app bad better to leave,-0.5994,negative,negative,0.9993888139724731,worest banking app ever i seen. fake app bad better to leave,other
good,4,2025-11-10,BOA,google_play,good,0.4404,positive,positive,0.999816119670868,good,other
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08,BOA,google_play,"i would like to share feedback regarding the application. it frequently experiences disruptions and does not function properly, often freezing or failing to load. this issue is affecting workflow and efficiency. kindly review and address this problem to ensure smoother performance.",0.4166,positive,negative,0.9947029948234558,"i would like to share feedback regarding the application. it frequently experiences disruptions and does not function properly, often freezing or failing to load. this issue is affecting workflow and efficiency. kindly review and address this problem to ensure smoother performance.",other
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,2025-11-08,BOA,google_play,meet you genuine.app i tried is not functional.helping.welldoingwith boa ethiopia .fastandrelevant.morconnecting digitalyworld.digitalyworld. thanks.,0.4404,positive,negative,0.8848855495452881,meet you genuine.app i tried is not functional.helping.welldoingwith boa ethiopia .fastandrelevant.morconnecting digitalyworld.digitalyworld. thanks.,account_access
best app,5,2025-11-08,BOA,google_play,best app,0.6369,positive,positive,0.999686598777771,best app,other
Best app,5,2025-11-07,BOA,google_play,best app,0.6369,positive,positive,0.999686598777771,best app,other
"Barely works, it always fails to connect",1,2025-11-07,BOA,google_play,"barely works, it always fails to connect",-0.4215,negative,negative,0.9997532963752748,"barely works, it always fails to connect",other
my fav app,5,2025-11-07,BOA,google_play,my fav app,0.4588,positive,positive,0.9846561551094056,my fav app,other
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05,BOA,google_play,this app launch time is so long also has dozen bugs in addition it's has been long time get update,0.0,neutral,negative,0.9977949857711792,this app launch time is so long also has dozen bugs in addition it's has been long time get update,crash_bug
very nice,5,2025-11-04,BOA,google_play,very nice,0.4754,positive,positive,0.9998563528060912,very nice,other
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,2025-11-04,BOA,google_play,"your application is very irritating to use, some functionality doesn't even work like on the card management. you need to do better than this and it good idea to reference other banking applications.",0.102,positive,negative,0.9985816478729248,"your application is very irritating to use, some functionality doesn't even work like on the card management. you need to do better than this and it good idea to reference other banking applications.",other
I like,5,2025-11-02,BOA,google_play,i like,0.3612,positive,positive,0.9998149275779724,i like,other
ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,1,2025-11-01,BOA,google_play,ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,0.0,neutral,negative,0.9608768820762634,ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,other
i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,2025-10-30,BOA,google_play,i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,0.4969,positive,negative,0.9083430767059326,i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,transactions
"the worst app ever,",1,2025-10-30,BOA,google_play,"the worst app ever,",-0.6249,negative,negative,0.9997932314872742,"the worst app ever,",other
better,5,2025-10-29,BOA,google_play,better,0.4404,positive,positive,0.999264657497406,better,other
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,2025-10-28,BOA,google_play,"i kindly request that bank of abyssinia address issues with its mobile app. it is very slow, has numerous problems, and frequently experiences downtime. the user experience is also poor. thank you.",-0.0258,neutral,negative,0.99928218126297,"i kindly request that bank of abyssinia address issues with its mobile app. it is very slow, has numerous problems, and frequently experiences downtime. the user experience is also poor. thank you.",transactions
this app can't open? what is problem? please solve my problem?,1,2025-10-28,BOA,google_play,this app can't open? what is problem? please solve my problem?,-0.4291,negative,negative,0.9996218681335448,this app can't open? what is problem? please solve my problem?,other
kiyaa makonn,5,2025-10-27,BOA,google_play,kiyaa makonn,0.0,neutral,positive,0.7175909876823425,kiyaa makonn,other
very very lazy app,1,2025-10-26,BOA,google_play,very very lazy app,-0.4716,negative,negative,0.9996856451034546,very very lazy app,other
telebirr remittance,5,2025-10-24,BOA,google_play,telebirr remittance,0.0,neutral,negative,0.9799609780311584,telebirr remittance,other
The best bank in 🇪🇹,5,2025-10-23,BOA,google_play,the best bank in 🇪🇹,0.6369,positive,positive,0.9998179078102112,the best bank in 🇪🇹,other
its good,5,2025-10-22,BOA,google_play,its good,0.4404,positive,positive,0.9998385906219482,its good,other
the worst app in my financial experience.,1,2025-10-22,BOA,google_play,the worst app in my financial experience.,-0.6249,negative,negative,0.9997914433479308,the worst app in my financial experience.,other
good for mb appliciation,5,2025-10-21,BOA,google_play,good for mb appliciation,0.4404,positive,positive,0.9943337440490724,good for mb appliciation,other
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,2025-10-20,BOA,google_play,the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,-0.9107,negative,negative,0.9997623562812804,the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,transactions
try to easy network,4,2025-10-17,BOA,google_play,try to easy network,0.4404,positive,negative,0.9987332224845886,try to easy network,other
hussen hassen umer,5,2025-10-16,BOA,google_play,hussen hassen umer,0.0,neutral,positive,0.8681215047836304,hussen hassen umer,other
"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",2,2025-10-16,BOA,google_play,"the app is not suitable and lacks a good ui design. as a large bank, you must update your app with a professional ui that is fast and appropriate.",0.4404,positive,negative,0.9988431930541992,"the app is not suitable and lacks a good ui design. as a large bank, you must update your app with a professional ui that is fast and appropriate.",ui_ux
an exceptional banking app.,5,2025-10-16,BOA,google_play,an exceptional banking app.,0.0,neutral,positive,0.9997233748435974,an exceptional banking app.,other
alhamdulilah,5,2025-10-11,BOA,google_play,alhamdulilah,0.0,neutral,positive,0.8558264374732971,alhamdulilah,other
poor,5,2025-10-11,BOA,google_play,poor,-0.4767,negative,negative,0.9997912049293518,poor,other
Best of best,5,2025-10-09,BOA,google_play,best of best,0.8555,positive,positive,0.9997496008872986,best of best,other
from the last week updates the app is not working Please check the problems,1,2025-10-08,BOA,google_play,from the last week updates the app is not working please check the problems,-0.5664,negative,negative,0.9996919631958008,from the last week updates the app is not working please check the problems,other
It's always crushing,1,2025-10-08,BOA,google_play,it's always crushing,-0.3612,negative,negative,0.999380588531494,it's always crushing,other
