review,rating,date,bank,source,review_clean,vader_compound,sentiment_vader,sent_label,sent_score,text,theme_primary
very good,5,2025-11-25,BOA,google_play,very good,0.4927,positive,positive,0.9998520612716676,very good,App Functionality / Reliability
most of the time is not working properly,1,2025-11-25,BOA,google_play,most of the time is not working properly,0.0,neutral,negative,0.9997636675834656,most of the time is not working properly,App Performance & Updates
good service,5,2025-11-25,BOA,google_play,good service,0.4404,positive,positive,0.9998499155044556,good service,App Functionality / Reliability
not use for me,3,2025-11-23,BOA,google_play,not use for me,0.0,neutral,negative,0.9953739047050476,not use for me,Usability / User Complaints
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22,BOA,google_play,it keeps notifying me to disable developer options and quiet while i'm not enabled. always bring another type of problem with new updates.,-0.4019,negative,negative,0.9968326687812804,it keeps notifying me to disable developer options and quiet while i'm not enabled. always bring another type of problem with new updates.,App Functionality / Reliability
waw,5,2025-11-21,BOA,google_play,waw,0.0,neutral,negative,0.7346178889274597,waw,Banking Service & Money Handling
the lag is unbelievable when you need it the most this suks,1,2025-11-19,BOA,google_play,the lag is unbelievable when you need it the most this suks,-0.1531,negative,negative,0.9983174800872804,the lag is unbelievable when you need it the most this suks,App Performance & Updates
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18,BOA,google_play,i cant belive i could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,-0.8834,negative,negative,0.999693751335144,i cant belive i could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,App Performance & Updates
it is a good app,5,2025-11-18,BOA,google_play,it is a good app,0.4404,positive,positive,0.9998643398284912,it is a good app,App Functionality / Reliability
it is not working at all,1,2025-11-15,BOA,google_play,it is not working at all,0.0,neutral,negative,0.9997811913490297,it is not working at all,App Performance & Updates
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15,BOA,google_play,🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,0.9142,positive,positive,0.8251601457595825,🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,Mobile Banking Experience / Slowness
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-13,BOA,google_play,when trying to activate the app it keeps on loading on the security questions page. it has been two days,0.34,positive,negative,0.9952510595321656,when trying to activate the app it keeps on loading on the security questions page. it has been two days,Banking Service & Money Handling
fast and simple,5,2025-11-11,BOA,google_play,fast and simple,0.0,neutral,positive,0.9997392296791076,fast and simple,Usability / User Complaints
best of best,5,2025-11-10,BOA,google_play,best of best,0.8555,positive,positive,0.9997496008872986,best of best,Mobile Banking Experience / Slowness
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10,BOA,google_play,worest banking app ever i seen. fake app bad better to leave,-0.5994,negative,negative,0.9993888139724731,worest banking app ever i seen. fake app bad better to leave,Banking Service & Money Handling
good,4,2025-11-10,BOA,google_play,good,0.4404,positive,positive,0.999816119670868,good,App Functionality / Reliability
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08,BOA,google_play,"i would like to share feedback regarding the application. it frequently experiences disruptions and does not function properly, often freezing or failing to load. this issue is affecting workflow and efficiency. kindly review and address this problem to ensure smoother performance.",0.4166,positive,negative,0.9947029948234558,"i would like to share feedback regarding the application. it frequently experiences disruptions and does not function properly, often freezing or failing to load. this issue is affecting workflow and efficiency. kindly review and address this problem to ensure smoother performance.",Banking Service & Money Handling
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,2025-11-08,BOA,google_play,meet you genuine.app i tried is not functional.helping.welldoingwith boa ethiopia .fastandrelevant.morconnecting digitalyworld.digitalyworld. thanks.,0.4404,positive,negative,0.8848855495452881,meet you genuine.app i tried is not functional.helping.welldoingwith boa ethiopia .fastandrelevant.morconnecting digitalyworld.digitalyworld. thanks.,Banking Service & Money Handling
best app,5,2025-11-08,BOA,google_play,best app,0.6369,positive,positive,0.999686598777771,best app,Mobile Banking Experience / Slowness
Best app,5,2025-11-07,BOA,google_play,best app,0.6369,positive,positive,0.999686598777771,best app,Mobile Banking Experience / Slowness
"Barely works, it always fails to connect",1,2025-11-07,BOA,google_play,"barely works, it always fails to connect",-0.4215,negative,negative,0.9997532963752748,"barely works, it always fails to connect",Mobile Banking Experience / Slowness
my fav app,5,2025-11-07,BOA,google_play,my fav app,0.4588,positive,positive,0.9846561551094056,my fav app,App Performance & Updates
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05,BOA,google_play,this app launch time is so long also has dozen bugs in addition it's has been long time get update,0.0,neutral,negative,0.9977949857711792,this app launch time is so long also has dozen bugs in addition it's has been long time get update,Usability / User Complaints
very nice,5,2025-11-04,BOA,google_play,very nice,0.4754,positive,positive,0.9998563528060912,very nice,App Performance & Updates
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,2025-11-04,BOA,google_play,"your application is very irritating to use, some functionality doesn't even work like on the card management. you need to do better than this and it good idea to reference other banking applications.",0.102,positive,negative,0.9985816478729248,"your application is very irritating to use, some functionality doesn't even work like on the card management. you need to do better than this and it good idea to reference other banking applications.",App Performance & Updates
I like,5,2025-11-02,BOA,google_play,i like,0.3612,positive,positive,0.9998149275779724,i like,Usability / User Complaints
ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,1,2025-11-01,BOA,google_play,ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,0.0,neutral,negative,0.9608768820762634,ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,Mobile Banking Experience / Slowness
i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,2025-10-30,BOA,google_play,i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,0.4969,positive,negative,0.9083430767059326,i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,App Performance & Updates
"the worst app ever,",1,2025-10-30,BOA,google_play,"the worst app ever,",-0.6249,negative,negative,0.9997932314872742,"the worst app ever,",Usability / User Complaints
better,5,2025-10-29,BOA,google_play,better,0.4404,positive,positive,0.999264657497406,better,App Performance & Updates
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,2025-10-28,BOA,google_play,"i kindly request that bank of abyssinia address issues with its mobile app. it is very slow, has numerous problems, and frequently experiences downtime. the user experience is also poor. thank you.",-0.0258,neutral,negative,0.99928218126297,"i kindly request that bank of abyssinia address issues with its mobile app. it is very slow, has numerous problems, and frequently experiences downtime. the user experience is also poor. thank you.",Banking Service & Money Handling
this app can't open? what is problem? please solve my problem?,1,2025-10-28,BOA,google_play,this app can't open? what is problem? please solve my problem?,-0.4291,negative,negative,0.9996218681335448,this app can't open? what is problem? please solve my problem?,Mobile Banking Experience / Slowness
kiyaa makonn,5,2025-10-27,BOA,google_play,kiyaa makonn,0.0,neutral,positive,0.7175909876823425,kiyaa makonn,App Functionality / Reliability
very very lazy app,1,2025-10-26,BOA,google_play,very very lazy app,-0.4716,negative,negative,0.9996856451034546,very very lazy app,App Performance & Updates
telebirr remittance,5,2025-10-24,BOA,google_play,telebirr remittance,0.0,neutral,negative,0.9799609780311584,telebirr remittance,App Performance & Updates
