review,rating,date,bank,source
very good,5,2025-11-25,BOA,google_play
most of the time is not working properly,1,2025-11-25,BOA,google_play
good service,5,2025-11-25,BOA,google_play
not use for me,3,2025-11-23,BOA,google_play
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22,BOA,google_play
waw,5,2025-11-21,BOA,google_play
the lag is unbelievable when you need it the most this suks,1,2025-11-19,BOA,google_play
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18,BOA,google_play
it is a good app,5,2025-11-18,BOA,google_play
it is not working at all,1,2025-11-15,BOA,google_play
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15,BOA,google_play
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-13,BOA,google_play
fast and simple,5,2025-11-11,BOA,google_play
best of best,5,2025-11-10,BOA,google_play
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10,BOA,google_play
good,4,2025-11-10,BOA,google_play
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08,BOA,google_play
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,2025-11-08,BOA,google_play
best app,5,2025-11-08,BOA,google_play
Best app,5,2025-11-07,BOA,google_play
"Barely works, it always fails to connect",1,2025-11-07,BOA,google_play
my fav app,5,2025-11-07,BOA,google_play
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05,BOA,google_play
very nice,5,2025-11-04,BOA,google_play
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,2025-11-04,BOA,google_play
I like,5,2025-11-02,BOA,google_play
ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,1,2025-11-01,BOA,google_play
i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,2025-10-30,BOA,google_play
"the worst app ever,",1,2025-10-30,BOA,google_play
better,5,2025-10-29,BOA,google_play
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,2025-10-28,BOA,google_play
this app can't open? what is problem? please solve my problem?,1,2025-10-28,BOA,google_play
kiyaa makonn,5,2025-10-27,BOA,google_play
very very lazy app,1,2025-10-26,BOA,google_play
telebirr remittance,5,2025-10-24,BOA,google_play
The best bank in 🇪🇹,5,2025-10-23,BOA,google_play
its good,5,2025-10-22,BOA,google_play
the worst app in my financial experience.,1,2025-10-22,BOA,google_play
good for mb appliciation,5,2025-10-21,BOA,google_play
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,2025-10-20,BOA,google_play
